Metric,Value
silhouette_before,0.5685093998908997
silhouette_after,0.5594892501831055
db_before,0.7152627854971809
db_after,0.6581555631463424
intra_mean_before,0.0003668686456558165
intra_mean_after,0.018824399684181287
inter_mean_before,0.0120930850069191
inter_mean_after,0.5470393770416673
intra_gain,0.01845753103852547
inter_change,0.5349462920347482
