Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BCL2L11,-0.4393172,-0.1764347,-0.25283763,-0.20699395,-0.56125844,0.026753047,-0.45588368,-0.65164715,0.09973954,0.0927546,0.14946198,-0.06713587,-0.046008013,0.7381158,0.27514297,0.3375725,-0.09615938,0.2800383,-0.1554096,0.25835872,0.7037472,0.22539994,0.4805346,0.22837679,-0.12961778,-0.0033717398,-0.1070672,-0.079263896,0.27892077,-0.28554794,0.25760373,0.21168306,-0.43449622,0.00598895,-0.5977168,-0.20053278,0.60729074,0.27601078,-0.2877071,0.2249839,0.21025,0.29301736,0.48764077,0.020201746,0.2136393,0.20996265,-0.18382962,-0.2320263,-0.27630508,0.11500083,0.42296797,0.025739005,0.0789258,-0.30803323,-0.07470808,-0.10513458,0.60113233,-0.5736743,0.32332236,-0.08531514,-0.43807924,0.08371441,-0.13986978,0.22148505
CARD8,-0.43932837,-0.17601308,-0.25298184,-0.20700073,-0.56154686,0.026759462,-0.4559154,-0.6516855,0.10029261,0.092772834,0.1499787,-0.068155095,-0.04591859,0.73896575,0.27594486,0.3382517,-0.09617631,0.27988356,-0.15540816,0.25836885,0.70368934,0.22540028,0.48111063,0.22849046,-0.12961666,-0.0030124132,-0.107072756,-0.07928267,0.278937,-0.2855688,0.2582476,0.21119153,-0.4345252,0.0062828157,-0.59774154,-0.20054789,0.60821825,0.27594543,-0.2877215,0.22606598,0.21027736,0.29433694,0.4882082,0.020149726,0.2136555,0.20960842,-0.1838382,-0.23204125,-0.27593452,0.11528387,0.42331505,0.025749138,0.07893775,-0.3082971,-0.07468442,-0.10513067,0.60174817,-0.57370305,0.32326266,-0.08532864,-0.43810734,0.083869606,-0.13997298,0.22127491
CASP9,-0.32181075,-0.011961933,-0.13063082,-0.18468472,-0.2680393,-0.0257035,-0.20037778,-0.3864309,0.13815607,-0.011896393,0.18959598,-0.1402412,-0.08967258,0.43056035,0.24675187,0.28701156,-0.05035093,0.18315057,-0.055773474,0.15831871,0.27554888,0.15457553,0.32004434,0.059955455,-0.1080175,0.08724762,-0.03013144,-0.009253226,0.16549711,-0.12035742,0.15651363,0.023201644,-0.18622312,0.062113598,-0.3472113,-0.09337865,0.44863898,0.1489454,-0.17065081,0.2598535,0.07777421,0.3197498,0.32166323,0.051407527,-0.0045755673,0.022367403,-0.13165449,-0.10481543,-0.07778935,0.12178939,0.20331271,-0.025380805,-0.028838947,-0.21251388,-0.06442827,-0.06512985,0.3336665,-0.2852345,0.09380474,0.011613665,-0.188565,0.06500785,-0.106698364,0.086268336
CDKN2A,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
DIABLO,-0.29593197,-0.14372283,-0.06485674,-0.17656444,-0.117235884,-0.022593655,-0.15146282,-0.05043611,-0.06002924,-0.038734715,0.0110495575,0.21288614,-0.13898209,0.07077246,-0.050450135,0.067813955,-0.029252227,0.23149323,-0.047445,0.30550706,0.236764,0.3828119,0.07599013,-0.0042658914,-0.11630866,-0.034376048,-0.023384605,0.013441514,0.13583277,-0.08495336,-0.1024991,0.16157186,-0.13978256,-0.031201074,-0.3068734,-0.0724851,0.113701105,0.14140165,-0.14507769,-0.10247621,0.04358841,-0.17828205,0.084535144,0.078384995,-0.03683596,0.12407346,0.06928399,0.17471051,-0.17770608,0.022444814,0.04041381,-0.036072347,-0.056049675,-0.09962997,-0.06848545,-0.06312156,0.06760906,-0.23435803,0.08482758,0.030987216,-0.14035347,0.0040723076,-0.068865895,0.14668071
DYNLL1,-0.41372633,-0.15575139,-0.19772118,-0.20476836,-0.46469405,0.028877659,-0.3853937,-0.57862216,0.08082451,0.07517143,0.14908585,-0.050366044,-0.033123553,0.61243033,0.2129209,0.29488015,-0.09951462,0.24528176,-0.11375368,0.24738136,0.5902237,0.19846863,0.43322694,0.17577581,-0.09519917,0.013229584,-0.07082111,-0.06932576,0.26528275,-0.24626473,0.22148243,0.17859212,-0.3670742,-0.00783137,-0.5141213,-0.17328829,0.5160755,0.27326265,-0.25970703,0.17593233,0.18423949,0.26956964,0.42231908,0.030556682,0.15374711,0.19104753,-0.14601344,-0.16359676,-0.25176525,0.0902051,0.35280776,0.010213021,0.06366625,-0.26186177,-0.07668685,-0.09669131,0.49597186,-0.49525547,0.25712126,-0.054331437,-0.36925477,0.07757825,-0.11081371,0.19691429
DYNLL2,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
E2F1,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
GZMB,-0.4264987,-0.14679083,-0.21857232,-0.20920342,-0.49776104,0.03462319,-0.4043677,-0.6160389,0.09968285,0.08617584,0.17110892,-0.1044084,-0.028754719,0.6688539,0.2524926,0.34563747,-0.10527234,0.24114713,-0.118018,0.25243896,0.60248023,0.19022447,0.46927857,0.18236165,-0.09173182,0.01905424,-0.07469417,-0.07902403,0.27611256,-0.2596527,0.25210857,0.16047162,-0.38477236,-0.0038313027,-0.530569,-0.18160672,0.57741416,0.28463462,-0.26862377,0.2276392,0.19700631,0.3327109,0.45968476,0.018971074,0.1506414,0.17593013,-0.16801058,-0.19605015,-0.25283206,0.10402275,0.37608302,0.01458062,0.07232668,-0.28897697,-0.08145728,-0.10167435,0.53562486,-0.5164967,0.2585729,-0.060901396,-0.38752326,0.07779151,-0.123806536,0.18288416
MAPK1,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
